n,type,rep,greedy_len,greedy_time,christo_len,christo_time,opt_len,opt_time,lb
10,clustered,16,2.371260,0.000026,2.361678,0.000681,2.353171,0.006334,1.373744
10,clustered,17,2.254565,0.000026,2.152955,0.000884,1.965830,0.006043,1.231084
10,clustered,18,1.400627,0.000049,1.311176,0.001327,1.286894,0.006164,0.804945
10,clustered,19,2.646771,0.000030,2.610653,0.000882,2.567978,0.006096,1.498172
10,clustered,20,1.677501,0.000049,1.697488,0.001198,1.562444,0.006129,1.013230
10,clustered,21,1.960294,0.000029,1.939335,0.000649,1.854435,0.006019,1.112461
10,clustered,22,1.660636,0.000048,1.660636,0.001087,1.594001,0.007763,0.982274
10,clustered,23,2.432739,0.000028,2.375514,0.000737,2.358731,0.006304,1.460570
10,clustered,24,1.841642,0.000040,1.950899,0.000973,1.841326,0.006231,1.263351
10,clustered,25,1.222840,0.000027,1.238066,0.000709,1.188830,0.006479,0.683148
10,clustered,26,2.309152,0.000028,2.310635,0.000787,2.280278,0.006274,1.199627
10,clustered,27,2.060892,0.000027,2.059650,0.000885,1.997758,0.006300,1.203333
10,clustered,28,2.036933,0.000028,1.953993,0.000870,1.953993,0.006051,1.221695
10,clustered,29,2.662764,0.000049,2.553762,0.001018,2.551566,0.006473,1.625407
10,clustered,30,1.437446,0.000026,1.361281,0.000985,1.327062,0.006144,0.870906
10,clustered,31,0.799715,0.000052,0.732777,0.000946,0.732777,0.006102,0.477922
10,clustered,32,2.110030,0.000030,1.978334,0.001144,1.978334,0.006064,1.219691
10,clustered,33,1.493550,0.000048,1.320284,0.001166,1.279540,0.006167,0.878953
10,clustered,34,1.948488,0.000049,1.955201,0.001338,1.902709,0.006065,1.058578
10,clustered,35,2.087026,0.000049,2.003982,0.001735,1.989398,0.006652,1.265528
10,clustered,36,1.435061,0.000028,1.383723,0.000744,1.350944,0.006077,0.890824
10,clustered,37,2.811173,0.000039,2.680346,0.001210,2.660726,0.006289,1.702658
10,clustered,38,1.166453,0.000049,1.197262,0.001043,1.136503,0.006130,0.737329
10,clustered,39,1.666055,0.000029,1.550363,0.000713,1.550363,0.006048,0.978630
10,clustered,40,2.297930,0.000049,2.246558,0.001138,2.223207,0.006349,1.207039
10,clustered,41,1.111422,0.000027,1.111422,0.000707,1.096633,0.006059,0.622551
10,clustered,42,2.022566,0.000049,1.787949,0.001145,1.730028,0.006223,1.046534
10,clustered,43,2.213380,0.000026,2.152285,0.000598,2.077726,0.006160,1.200475
10,clustered,44,1.110529,0.000050,1.005872,0.001101,0.974738,0.006388,0.595070
10,clustered,45,1.865494,0.000026,1.865494,0.000622,1.865494,0.006072,1.406563
10,clustered,46,1.330575,0.000050,1.286418,0.000827,1.195317,0.006181,0.757755
10,clustered,47,2.835844,0.000027,2.641448,0.000862,2.555927,0.006131,1.659669
10,clustered,48,1.549082,0.000049,1.471653,0.000721,1.468432,0.006357,0.828775
10,clustered,49,1.937433,0.000048,1.827930,0.001370,1.823166,0.006058,1.068569
20,random,0,4.191408,0.000132,3.825252,0.002924,,,2.534195
20,random,1,4.342071,0.000068,3.707208,0.001676,,,2.845354
20,random,2,5.288753,0.000064,4.561487,0.002550,,,3.550366
20,random,3,4.639682,0.000063,4.015570,0.001682,,,2.710136
20,random,4,3.965443,0.000171,3.765726,0.002647,,,2.550258
20,random,5,4.425463,0.000065,4.057555,0.002089,,,2.908165
20,random,6,4.534338,0.000065,4.183096,0.002819,,,2.773965
20,random,7,4.886226,0.000141,4.775500,0.002241,,,3.519555
20,random,8,4.521369,0.000068,3.936597,0.001488,,,2.968211
20,random,9,4.689521,0.000138,4.189716,0.001606,,,3.147551
20,random,10,3.573754,0.000132,3.637945,0.001797,,,3.239749
20,random,11,5.263030,0.000097,4.778116,0.002289,,,3.576832
20,random,12,4.746906,0.000133,4.487911,0.001631,,,3.061506
20,random,13,5.082879,0.000069,4.818535,0.002136,,,3.219806
20,random,14,4.438887,0.000067,3.934316,0.002053,,,3.000548
20,random,15,4.489807,0.000180,4.289471,0.002255,,,2.823725
20,random,16,3.511433,0.000065,3.593955,0.002414,,,2.683080
20,random,17,4.942943,0.000068,4.273067,0.001712,,,3.156543
20,random,18,4.777344,0.000135,4.879927,0.001825,,,3.415738
